Code;Libellé;Médiane du niveau de vie 2021
01001;L'Abergement-Clémenciat;25820
01002;L'Abergement-de-Varey;24480
01004;Ambérieu-en-Bugey;21660
01005;Ambérieux-en-Dombes;24610
01006;Ambléon;24210
01007;Ambronay;24860
01008;Ambutrix;26300
01009;Andert-et-Condon;24810
01010;Anglefort;24700
01011;Apremont;24530
01012;Aranc;24270
01013;Arandas;22180
01014;Arbent;22410
01015;Arboys en Bugey;23800
01016;Arbigny;23080
01017;Argis;20790
01019;Armix;N/A - résultat non disponible
01021;Ars-sur-Formans;26430
01022;Artemare;22000
01023;Asnières-sur-Saône;N/A - résultat non disponible
01024;Attignat;24460
01025;Bâgé-Dommartin;24880
01026;Bâgé-le-Châtel;22860
01027;Balan;25770
01028;Baneins;25520
01029;Beaupont;21350
01030;Beauregard;24240
01031;Bellignat;20550
01032;Béligneux;23060
01033;Valserhône;23780
01034;Belley;21180
01035;Belleydoux;26160
01036;Valromey-sur-Séran;23820
01037;Bénonces;21770
01038;Bény;24250
01040;Béréziat;23440
01041;Bettant;25150
01042;Bey;25520
01043;Beynost;28730
01044;Billiat;28550
01045;Birieux;28180
01046;Biziat;24260
01047;Blyes;27110
01049;La Boisse;26780
01050;Boissey;23180
01051;Bolozon;N/A - résultat non disponible
01052;Bouligneux;27630
01053;Bourg-en-Bresse;20210
01054;Bourg-Saint-Christophe;27320
01056;Boyeux-Saint-Jérôme;21640
01057;Boz;24300
01058;Brégnier-Cordon;23420
01060;Brénod;24970
01061;Brens;25110
01062;Bressolles;28710
01063;Brion;25400
01064;Briord;23440
01065;Buellas;26810
01066;La Burbanche;N/A - résultat non disponible
01067;Ceignes;25900
01068;Cerdon;21410
01069;Certines;25570
01071;Cessy;42540
01072;Ceyzériat;25320
01073;Ceyzérieu;25250
01074;Chalamont;23720
01075;Chaleins;24890
01076;Chaley;21070
01077;Challes-la-Montagne;24620
01078;Challex;44460
01079;Champagne-en-Valromey;22770
01080;Champdor-Corcelles;23720
01081;Champfromier;27400
01082;Chanay;27880
01083;Chaneins;25580
01084;Chanoz-Châtenay;24050
01085;La Chapelle-du-Châtelard;26330
01087;Charix;27320
01088;Charnoz-sur-Ain;28140
01089;Château-Gaillard;25170
01090;Châtenay;24090
01092;Châtillon-la-Palud;25470
01093;Châtillon-sur-Chalaronne;23430
01094;Chavannes-sur-Reyssouze;23460
01095;Nivigne et Suran;23260
01096;Chaveyriat;23940
01098;Chazey-Bons;22520
01099;Chazey-sur-Ain;26780
01100;Cheignieu-la-Balme;21090
01101;Chevillard;26800
01102;Chevroux;23750
01103;Chevry;44010
01104;Chézery-Forens;25230
01105;Civrieux;28920
01106;Cize;23440
01107;Cleyzieu;22370
01108;Coligny;23750
01109;Collonges;33820
01110;Colomieu;20800
01111;Conand;21730
01112;Condamine;25520
01113;Condeissiat;23170
01114;Confort;30140
01115;Confrançon;24350
01116;Contrevoz;23210
01117;Conzieu;22900
01118;Corbonod;27120
01121;Corlier;24470
01123;Cormoranche-sur-Saône;25480
01124;Cormoz;23440
01125;Corveissiat;24010
01127;Courmangoux;24080
01128;Courtes;22520
01129;Crans;26820
01130;Bresse Vallons;24120
01133;Cressin-Rochefort;23660
01134;Crottet;24310
01135;Crozet;44040
01136;Cruzilles-lès-Mépillat;25850
01138;Culoz-Béon;21730
01139;Curciat-Dongalon;19790
01140;Curtafond;26220
01141;Cuzieu;25670
01142;Dagneux;25320
01143;Divonne-les-Bains;46650
01145;Dompierre-sur-Veyle;24100
01146;Dompierre-sur-Chalaronne;24550
01147;Domsure;21490
01148;Dortan;23960
01149;Douvres;27910
01150;Drom;23580
01151;Druillat;24570
01152;Échallon;28070
01153;Échenevex;49930
01155;Évosges;23720
01156;Faramans;26730
01157;Fareins;27070
01158;Farges;37990
01159;Feillens;24360
01160;Ferney-Voltaire;27220
01162;Flaxieu;N/A - résultat non disponible
01163;Foissiat;23810
01165;Francheleins;26140
01166;Frans;27060
01167;Garnerans;24530
01169;Genouilleux;25500
01170;Béard-Géovreissiat;24070
01171;Géovreisset;25370
01173;Gex;35280
01174;Giron;26560
01175;Gorrevod;22580
01177;Grand-Corent;24680
01179;Grièges;24460
01180;Grilly;55340
01181;Groissiat;25220
01183;Guéreins;25240
01184;Hautecourt-Romanèche;24580
01185;Plateau d'Hauteville;23080
01187;Haut Valromey;23000
01188;Illiat;24070
01189;Injoux-Génissiat;28040
01190;Innimond;N/A - résultat non disponible
01191;Izenave;24140
01192;Izernore;23500
01193;Izieu;23870
01194;Jassans-Riottier;24030
01195;Jasseron;25630
01196;Jayat;23020
01197;Journans;25780
01198;Joyeux;25480
01199;Jujurieux;23050
01200;Labalme;23480
01202;Lagnieu;23820
01203;Laiz;24820
01204;Le Poizat-Lalleyriat;25910
01206;Lantenay;24700
01207;Lapeyrouse;27830
01208;Lavours;22170
01209;Léaz;31670
01210;Lélex;24020
01211;Lent;24780
01212;Lescheroux;22570
01213;Leyment;24160
01214;Leyssard;26540
01215;Surjoux-Lhopital;23850
01216;Lhuis;24130
01219;Lompnas;22500
01224;Loyettes;23420
01225;Lurcy;28430
01227;Magnieu;25450
01228;Maillat;26830
01229;Malafretaz;24580
01230;Mantenay-Montlin;21030
01231;Manziat;25260
01232;Marboz;24540
01233;Marchamp;24140
01234;Marignieu;23750
01235;Marlieux;22870
01236;Marsonnas;24430
01237;Martignat;24590
01238;Massieux;28590
